item,condition,sentence,baseline,recon_L14,recon_L18,recon_L20,recon_L22,recon_all,ablate_L22_F6415_general,ablate_L20_F31666_general,ablate_L14_F51903_negspec,ablate_CONTROL_L22_F22498,ablate_COMBINED,effect_L22_F6415_general,effect_L20_F31666_general,effect_L14_F51903_negspec,effect_CONTROL_L22_F22498,effect_COMBINED,environment
1,A,The manager did not approve any proposals.,-4.864857196807861,-4.178833484649658,-4.013101577758789,-4.447484016418457,-4.700538635253906,-3.843413829803467,-6.280591011047363,-6.535187721252441,-4.438924789428711,-4.700538635253906,-6.601940155029297,1.580052375793457,2.0877037048339844,0.26009130477905273,0.0,2.75852632522583,sentential_negation
1,B,The manager who did not approve the budget reviewed any proposals.,-6.9254841804504395,-7.131079196929932,-6.5177412033081055,-6.808355331420898,-6.270460605621338,-7.456914901733398,-7.261965751647949,-8.113115310668945,-7.131079196929932,-6.270460605621338,-7.414000988006592,0.9915051460266113,1.3047599792480469,0.0,0.0,-0.04291391372680664,sentential_negation
1,C,The manager did approve any proposals.,-7.951018333435059,-8.463241577148438,-6.933359622955322,-7.096384048461914,-7.4700798988342285,-6.267745494842529,-7.4700798988342285,-7.096384048461914,-8.463241577148438,-7.4700798988342285,-6.89124059677124,0.0,0.0,0.0,0.0,0.6234951019287109,sentential_negation
2,A,The teacher has not assigned any homework.,-1.6143462657928467,-1.8381187915802002,-1.756547212600708,-1.966774344444275,-1.8841164112091064,-2.6675169467926025,-3.0378198623657227,-4.554502010345459,-2.222696304321289,-1.997921347618103,-6.988691329956055,1.1537034511566162,2.587727665901184,0.38457751274108887,0.11380493640899658,4.321174383163452,sentential_negation
2,B,The teacher who has not finished the grading assigned any homework.,-10.171202659606934,-10.261861801147461,-9.272491455078125,-9.745182037353516,-9.4276704788208,-8.627447128295898,-10.442482948303223,-10.706104278564453,-10.261861801147461,-9.4276704788208,-10.975934028625488,1.0148124694824219,0.9609222412109375,0.0,0.0,2.34848690032959,sentential_negation
2,C,The teacher has assigned any homework.,-10.26069164276123,-10.203640937805176,-9.264427185058594,-10.918984413146973,-11.538705825805664,-10.28289794921875,-11.538705825805664,-10.918984413146973,-10.203640937805176,-11.538705825805664,-9.61022663116455,0.0,0.0,0.0,0.0,-0.6726713180541992,sentential_negation
3,A,The committee did not consider any alternatives.,-2.5173206329345703,-2.6139328479766846,-2.5536935329437256,-2.5538992881774902,-2.473416805267334,-3.0354666709899902,-3.5368499755859375,-4.527325630187988,-2.850771427154541,-2.473416805267334,-5.576992988586426,1.0634331703186035,1.973426342010498,0.23683857917785645,0.0,2.5415263175964355,sentential_negation
3,B,The committee that did not meet last week considered any alternatives.,-9.0357027053833,-8.038832664489746,-7.444576263427734,-7.153602600097656,-7.656540393829346,-6.630685806274414,-7.656540393829346,-7.153602600097656,-8.038832664489746,-7.656540393829346,-7.104516506195068,0.0,0.0,0.0,0.0,0.4738306999206543,sentential_negation
3,C,The committee did consider any alternatives.,-7.526173114776611,-6.751568794250488,-7.463576316833496,-7.18875789642334,-7.238784313201904,-6.387946128845215,-7.238784313201904,-7.18875789642334,-6.751568794250488,-7.238784313201904,-6.504317283630371,0.0,0.0,0.0,0.0,0.11637115478515625,sentential_negation
4,A,The doctor has not recommended any treatment.,-1.6794533729553223,-2.1302571296691895,-1.9577946662902832,-1.7126317024230957,-1.9119118452072144,-3.015031576156616,-2.799999475479126,-3.62903094291687,-2.740112066268921,-2.044226884841919,-7.229735851287842,0.8880876302719116,1.9163992404937744,0.6098549365997314,0.1323150396347046,4.214704275131226,sentential_negation
4,B,The doctor who has not seen the results recommended any treatment.,-6.4060773849487305,-6.569769382476807,-6.541464805603027,-6.903431415557861,-7.369657039642334,-8.46249008178711,-8.556753158569336,-8.492179870605469,-6.569769382476807,-7.369657039642334,-8.791437149047852,1.187096118927002,1.5887484550476074,0.0,0.0,0.3289470672607422,sentential_negation
4,C,The doctor has recommended any treatment.,-10.708168029785156,-10.395523071289062,-8.69970989227295,-9.914508819580078,-9.370821952819824,-8.855544090270996,-9.370821952819824,-9.914508819580078,-10.395523071289062,-9.370821952819824,-7.93375301361084,0.0,0.0,0.0,0.0,-0.9217910766601562,sentential_negation
5,A,The company did not hire any contractors.,-2.2231478691101074,-2.252910614013672,-2.059783935546875,-2.356194019317627,-2.3180394172668457,-2.5397021770477295,-3.5145843029022217,-5.159906387329102,-2.6498806476593018,-2.3180394172668457,-7.082855224609375,1.196544885635376,2.8037123680114746,0.3969700336456299,0.0,4.5431530475616455,sentential_negation
5,B,The company that did not post the earnings hired any contractors.,-11.600415229797363,-10.608283996582031,-9.693076133728027,-11.076626777648926,-9.425244331359863,-8.247113227844238,-9.425244331359863,-11.076626777648926,-10.608283996582031,-9.425244331359863,-8.43255615234375,0.0,0.0,0.0,0.0,0.18544292449951172,sentential_negation
5,C,The company did hire any contractors.,-8.838064193725586,-8.95228385925293,-9.201583862304688,-11.224504470825195,-9.412549018859863,-9.284215927124023,-9.412549018859863,-11.224504470825195,-8.95228385925293,-9.412549018859863,-9.339316368103027,0.0,0.0,0.0,0.0,0.055100440979003906,sentential_negation
6,A,The researcher did not find any evidence.,-1.123982310295105,-1.2950938940048218,-1.0006756782531738,-1.1293388605117798,-1.0010075569152832,-1.254708170890808,-1.5646846294403076,-2.7490086555480957,-1.4417316913604736,-1.0831090211868286,-4.422467231750488,0.5636770725250244,1.619669795036316,0.14663779735565186,0.08210146427154541,3.16775906085968,sentential_negation
6,B,The researcher who did not publish the paper found any evidence.,-6.624617576599121,-7.329225540161133,-6.018666744232178,-6.994779586791992,-7.1399078369140625,-8.756624221801758,-9.547369003295898,-8.916664123535156,-7.329225540161133,-7.1399078369140625,-8.994653701782227,2.407461166381836,1.921884536743164,0.0,0.0,0.23802947998046875,sentential_negation
