item,condition,environment,recon_L12,recon_L14,recon_L16,recon_L18,recon_all_inv,ablate_L12_F56118_unlic,ablate_L14_F33172_unlic,ablate_L16_F44439_unlic,ablate_L18_F30313_unlic,ablate_INV_COMBINED,effect_L12_F56118_unlic,effect_L14_F33172_unlic,effect_L16_F44439_unlic,effect_L18_F30313_unlic,effect_INV_COMBINED
1,A,sentential_negation,-4.597323417663574,-4.178833484649658,-3.7266483306884766,-4.013101577758789,-3.122722864151001,-4.597323417663574,-4.178833484649658,-3.7266483306884766,-4.013101577758789,-3.122722864151001,0.0,0.0,0.0,0.0,0.0
1,B,sentential_negation,-7.22298526763916,-7.131079196929932,-7.3180766105651855,-6.5177412033081055,-6.570372581481934,-7.22298526763916,-7.131079196929932,-7.3180766105651855,-6.5177412033081055,-6.570372581481934,0.0,0.0,0.0,0.0,0.0
1,C,sentential_negation,-8.021778106689453,-8.463241577148438,-6.672366142272949,-6.933359622955322,-6.155279636383057,-7.672765731811523,-8.105549812316895,-6.583003997802734,-6.7822723388671875,-6.010166645050049,-0.3490123748779297,-0.35769176483154297,-0.08936214447021484,-0.15108728408813477,-0.1451129913330078
2,A,sentential_negation,-1.9444150924682617,-1.8381187915802002,-1.6817446947097778,-1.756547212600708,-2.5917811393737793,-1.9444150924682617,-1.8381187915802002,-1.6817446947097778,-1.756547212600708,-2.5917811393737793,0.0,0.0,0.0,0.0,0.0
2,B,sentential_negation,-10.190534591674805,-10.261861801147461,-10.260786056518555,-9.272491455078125,-8.203174591064453,-10.190534591674805,-10.261861801147461,-10.260786056518555,-9.272491455078125,-8.203174591064453,0.0,0.0,0.0,0.0,0.0
2,C,sentential_negation,-11.072787284851074,-10.203640937805176,-10.488297462463379,-9.264427185058594,-9.238236427307129,-11.072787284851074,-10.203640937805176,-10.488297462463379,-9.264427185058594,-9.238236427307129,0.0,0.0,0.0,0.0,0.0
3,A,sentential_negation,-2.3350534439086914,-2.6139328479766846,-2.9580135345458984,-2.5536935329437256,-2.9577620029449463,-2.3350534439086914,-2.6139328479766846,-2.9580135345458984,-2.5536935329437256,-2.9577620029449463,0.0,0.0,0.0,0.0,0.0
3,B,sentential_negation,-8.641226768493652,-8.038832664489746,-8.755388259887695,-7.444576263427734,-6.01669979095459,-8.641226768493652,-8.038832664489746,-8.755388259887695,-7.444576263427734,-6.01669979095459,0.0,0.0,0.0,0.0,0.0
3,C,sentential_negation,-6.311685562133789,-6.751568794250488,-7.343141555786133,-7.463576316833496,-6.0457844734191895,-6.485964775085449,-6.7986955642700195,-7.2071452140808105,-7.156978130340576,-5.706599235534668,0.17427921295166016,0.04712677001953125,-0.13599634170532227,-0.3065981864929199,-0.3391852378845215
4,A,sentential_negation,-1.815645694732666,-2.1302571296691895,-2.0186004638671875,-1.9577946662902832,-2.8103551864624023,-1.815645694732666,-2.1302571296691895,-2.0186004638671875,-1.9577946662902832,-2.8103551864624023,0.0,0.0,0.0,0.0,0.0
4,B,sentential_negation,-6.095939636230469,-6.569769382476807,-6.489925861358643,-6.541464805603027,-6.620433807373047,-6.095939636230469,-6.569769382476807,-6.489925861358643,-6.541464805603027,-6.620433807373047,0.0,0.0,0.0,0.0,0.0
4,C,sentential_negation,-10.256087303161621,-10.395523071289062,-10.069965362548828,-8.69970989227295,-8.959941864013672,-10.256087303161621,-10.395523071289062,-10.069965362548828,-8.69970989227295,-8.959941864013672,0.0,0.0,0.0,0.0,0.0
5,A,sentential_negation,-2.0853114128112793,-2.252910614013672,-2.1766409873962402,-2.059783935546875,-2.4293341636657715,-2.0853114128112793,-2.252910614013672,-2.1766409873962402,-2.059783935546875,-2.4293341636657715,0.0,0.0,0.0,0.0,0.0
5,B,sentential_negation,-10.603797912597656,-10.608283996582031,-10.637028694152832,-9.693076133728027,-6.8816680908203125,-10.603797912597656,-10.608283996582031,-10.637028694152832,-9.693076133728027,-6.8816680908203125,0.0,0.0,0.0,0.0,0.0
5,C,sentential_negation,-8.423587799072266,-8.95228385925293,-9.653304100036621,-9.201583862304688,-7.701302528381348,-9.767754554748535,-9.78840160369873,-10.312689781188965,-9.277697563171387,-7.417532444000244,1.3441667556762695,0.8361177444458008,0.6593856811523438,0.07611370086669922,-0.2837700843811035
6,A,sentential_negation,-1.2096648216247559,-1.2950938940048218,-0.9611128568649292,-1.0006756782531738,-1.2650628089904785,-1.2096648216247559,-1.2950938940048218,-0.9611128568649292,-1.0006756782531738,-1.2650628089904785,0.0,0.0,0.0,0.0,0.0
6,B,sentential_negation,-7.655864715576172,-7.329225540161133,-8.405083656311035,-6.018666744232178,-7.927333831787109,-7.655864715576172,-7.329225540161133,-8.405083656311035,-6.018666744232178,-7.927333831787109,0.0,0.0,0.0,0.0,0.0
6,C,sentential_negation,-7.987576484680176,-8.520992279052734,-6.850553512573242,-8.941547393798828,-9.104544639587402,-10.344464302062988,-9.982824325561523,-7.698836326599121,-9.313881874084473,-8.71688175201416,2.3568878173828125,1.461832046508789,0.8482828140258789,0.37233448028564453,-0.3876628875732422
7,A,sentential_negation,-2.0651793479919434,-2.116760730743408,-2.0799312591552734,-1.963014841079712,-2.284761667251587,-2.0651793479919434,-2.116760730743408,-2.0799312591552734,-1.963014841079712,-2.284761667251587,0.0,0.0,0.0,0.0,0.0
7,B,sentential_negation,-7.797964096069336,-7.922002792358398,-6.327042579650879,-7.887782096862793,-7.856533050537109,-7.797964096069336,-7.922002792358398,-6.327042579650879,-7.887782096862793,-7.856533050537109,0.0,0.0,0.0,0.0,0.0
7,C,sentential_negation,-7.60879373550415,-6.994090557098389,-6.0775017738342285,-6.390939712524414,-6.7062458992004395,-8.212833404541016,-7.633073806762695,-6.427786350250244,-6.385627746582031,-6.935567855834961,0.6040396690368652,0.6389832496643066,0.3502845764160156,-0.0053119659423828125,0.22932195663452148
8,A,sentential_negation,-1.2728873491287231,-1.556234359741211,-1.1864209175109863,-1.0451056957244873,-1.8291478157043457,-1.2728873491287231,-1.556234359741211,-1.1864209175109863,-1.0451056957244873,-1.8291478157043457,0.0,0.0,0.0,0.0,0.0
8,B,sentential_negation,-7.523159980773926,-7.6576337814331055,-8.062230110168457,-8.336942672729492,-5.387308597564697,-7.523159980773926,-7.6576337814331055,-8.062230110168457,-8.336942672729492,-5.387308597564697,0.0,0.0,0.0,0.0,0.0
8,C,sentential_negation,-6.34130859375,-8.207125663757324,-5.969714164733887,-6.515476226806641,-7.806031227111816,-8.336806297302246,-9.406909942626953,-6.684471130371094,-6.699513912200928,-6.46512508392334,1.995497703552246,1.199784278869629,0.714756965637207,0.1840376853942871,-1.3409061431884766
9,A,sentential_negation,-1.111743688583374,-1.0753614902496338,-0.945551872253418,-1.2028034925460815,-1.239173412322998,-1.111743688583374,-1.0753614902496338,-0.945551872253418,-1.2028034925460815,-1.239173412322998,0.0,0.0,0.0,0.0,0.0
9,B,sentential_negation,-8.048748016357422,-8.882919311523438,-7.773575305938721,-8.85594367980957,-7.280567646026611,-8.048748016357422,-8.882919311523438,-7.773575305938721,-8.85594367980957,-7.280567646026611,0.0,0.0,0.0,0.0,0.0
9,C,sentential_negation,-7.045355796813965,-7.679200172424316,-7.604331016540527,-7.5341691970825195,-7.241782188415527,-8.345014572143555,-8.458184242248535,-8.051642417907715,-7.664065837860107,-6.79066801071167,1.2996587753295898,0.7789840698242188,0.4473114013671875,0.1298966407775879,-0.4511141777038574
10,A,sentential_negation,-1.6525816917419434,-1.8616070747375488,-1.5767700672149658,-1.522654414176941,-2.1887407302856445,-1.6525816917419434,-1.8616070747375488,-1.5767700672149658,-1.522654414176941,-2.1887407302856445,0.0,0.0,0.0,0.0,0.0
10,B,sentential_negation,-8.300177574157715,-8.457019805908203,-8.388751983642578,-8.97928237915039,-7.6269025802612305,-8.300177574157715,-8.457019805908203,-8.388751983642578,-8.97928237915039,-7.6269025802612305,0.0,0.0,0.0,0.0,0.0
10,C,sentential_negation,-6.2415971755981445,-6.398437023162842,-5.490547180175781,-6.737492561340332,-5.617442607879639,-7.162492752075195,-7.494288921356201,-5.993309497833252,-6.777815341949463,-6.046095848083496,0.9208955764770508,1.0958518981933594,0.5027623176574707,0.04032278060913086,0.4286532402038574
11,A,sentential_negation,-1.8645350933074951,-2.0925941467285156,-1.7219140529632568,-2.1723411083221436,-2.3097338676452637,-1.8645350933074951,-2.0925941467285156,-1.7219140529632568,-2.1723411083221436,-2.3097338676452637,0.0,0.0,0.0,0.0,0.0
11,B,sentential_negation,-5.709831237792969,-5.967247009277344,-6.529547691345215,-7.000367641448975,-7.152465343475342,-5.709831237792969,-5.967247009277344,-6.529547691345215,-7.000367641448975,-7.152465343475342,0.0,0.0,0.0,0.0,0.0
11,C,sentential_negation,-10.709107398986816,-10.740303039550781,-10.591302871704102,-10.291604042053223,-7.803948879241943,-10.709107398986816,-10.740303039550781,-10.591302871704102,-10.291604042053223,-7.803948879241943,0.0,0.0,0.0,0.0,0.0
